_id|word|translate|translateFR|translateIT|tags|picture|audio
254|apple|der Apfel||||254.jpg|
116|axe|die Axt|la hache|||116.jpg|
130|ball|der Ball|la balle / le ballon|||130.jpg|
121|butterfly|der Schmetterling|le papillon|||121.jpg|
308|carrots|die Karotten|les carottes (f.)||food vegetable|308.jpg|
55|dog|der Hund|le chien|||55.jpg|
125|duck|die Ente|le canard||animal bird|125.jpg|
63|egg|das Ei|un œuf|||63.jpg|
12|fire|das Feuer|le feu|il cane|nature|12.jpg|En-uk-a_dog.ogg.mp3
18|goat|die Ziege|la chèvre|il pesce|animal otherAnimal|18.jpg|En-uk-fish.ogg.mp3
278|grasshopper|die Heuschrecke|la sauterelle|||278.jpg|
262|ground nuts|die Erdnüsse|la cacaho(u)ète|||262.jpg|
314|hammer|der Hammer|le marteau|||314.jpg|
318|hen|die Henne|la poule||animal bird|318.jpg|En-uk-grasshopper.ogg.mp3
195|knife|das Messer|le couteau|||195.jpg|
363|matches|die Streichhölzer|les allumettes (f.)|||363.jpg|
288|mattress|die Matratze|le matelas|||288.jpg|
5|mushrooms|die Pilze|les champignons (m.)|la farfalla|food vegetable|5.jpg|En-uk-a_butterfly.ogg.mp3
65|nail|der Nagel|le clou / la pointe|||65.jpg|
109|pencil|der Bleistift|le crayon|||109.jpg|
201|pigeon|die Taube|le pigeon|||201.jpg|
35|rabbit|der Hase|le lièvre|l'ovino m.|animal mammal|35.jpg|En-uk-a_sheep.ogg.mp3
334|sack|der Sack|le sac|||334.jpg|
377|square|das Quadrat||||377.png|
157|tambourine|der Schellenkranz|le tambourin|||157.jpg|
60|tomatoes|die Tomaten|les tomates (f.)|||60.jpg|
105|watermelon|die Wassermelone|la pastèque|||105.jpg|
244|wheel|das Vorderrad|la roue|||244.jpg|
298|zebra|das Zebra|le zèbre||animal mammal|298.jpg|
